PATH;NUM_PRODUCTS;TIME;R;AND_OPTIMIZATION;AND_THRESHOLD;REORDER_VARIABLES;N_EDGES;N_NODES
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;122.044;10;1;2;1;869002;502289
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;52.7041;10;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;122.058;10;1;5;1;870185;502515
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;53.4453;10;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;179.253;10;1;10;1;820404;358335
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;50.7721;10;1;10;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;179.784;10;1;20;1;820404;358335
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;48.9018;10;1;20;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;180.289;10;1;50;1;820404;358335
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;49.284;10;1;50;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;134.181;20;1;0;1;1.0437e+06;585156
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;64.277;20;1;0;0;5.00987e+06;3.1651e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;133.641;20;1;1;1;1.04366e+06;585096
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;64.4443;20;1;1;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;134.388;20;1;2;1;1.04366e+06;585096
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;65.329;20;1;2;0;5.00805e+06;3.16389e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;130.429;20;1;5;1;1.06291e+06;597768
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;64.029;20;1;5;0;5.05315e+06;3.16356e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;56.2969;20;1;10;1;1.8265e+06;783055
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;53.5785;20;1;10;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;56.6388;20;1;20;1;1.8265e+06;783055
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;54.1619;20;1;20;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;56.6609;20;1;50;1;1.8265e+06;783055
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;52.6332;20;1;50;0;5.69046e+06;2.96226e+06
../../benchmarks/FeatureIDE/Mixed-3CNF-FM-200-80-1,00-SAT-0.xml;1314954021387255212068992;235.389;50;1;0;1;5.00987e+06;3.1651e+06
